CODE_UIC;LIBELLE;FRET;VOYAGEURS;CODE_LIGNE;RG_TRONCON;PK;COMMUNE;DEPARTEMEN;IDRESEAU;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
87775171;La Bastide-St-Laurent-les-Bains;N;O;723000;1;692+501;LA BASTIDE-PUYLAURENT;LOZERE;116652;d98ce5ca-6667-11e3-89ff-01f464e0362d;771737.6758999974;6388587.425500002;3.903831857184691;44.59267783267945;44.59267783267945, 3.9038318571846906;44.59267783265876, 3.9038318571846906;"{""coordinates"": [3.903831857184691, 44.59267783265876], ""type"": ""Point""}"
87193615;Sarreguemines;O;O;159000;1;084+025;SARREGUEMINES;MOSELLE;116656;d9e22970-6667-11e3-89ff-01f464e0362d;996914.6124000028;6897347.678399999;7.067955834847899;49.1070995481628;49.1070995481628, 7.067955834847899;49.107099548142, 7.067955834847902;"{""coordinates"": [7.067955834847902, 49.107099548142], ""type"": ""Point""}"
87487215;Coulonges-Thouarsais;N;N;525000;1;142+076;LUCHE-THOUARSAIS;DEUX-SEVRES;116660;e5405a68-6667-11e3-a7ff-01f464e0362d;450067.7496000007;6651862.364399999;-0.285259983329466;46.920152384078364;46.920152384078364, -0.2852599833294662;46.920152384064295, -0.2852599833294686;"{""coordinates"": [-0.285259983329469, 46.920152384064295], ""type"": ""Point""}"
87581256;Pauillac;N;O;584000;1;046+393;PAUILLAC;GIRONDE;116663;c0ecdf28-f312-11e3-90ff-015864e0362d;405287.72100000083;6463064.868700001;-0.755104732531348;45.20382280173109;45.20382280173109, -0.7551047325313479;45.203822801712064, -0.7551047325313504;"{""coordinates"": [-0.75510473253135, 45.203822801712064], ""type"": ""Point""}"
87743005;Bourg-en-Bresse;O;O;883000;1;037+012;BOURG-EN-BRESSE;AIN;116682;d94753d0-6667-11e3-89ff-01f464e0362d;870742.7353999987;6569135.9081999995;5.214537996957798;46.200517384222564;46.200517384222564, 5.214537996957798;46.20051738420641, 5.2145379969578;"{""coordinates"": [5.2145379969578, 46.20051738420641], ""type"": ""Point""}"
87784702;Serdinya;N;O;669000;1;004+990;SERDINYA;PYRENEES-ORIENTALES;116684;d9bb062c-6667-11e3-89ff-01f464e0362d;644353.4924999997;6163264.616099998;2.323221995415574;42.56698185636394;42.56698185636394, 2.3232219954155737;42.566981856338316, 2.3232219954155737;"{""coordinates"": [2.323221995415574, 42.566981856338316], ""type"": ""Point""}"
87581850;Bassens;N;O;583000;1;574+622;BASSENS;GIRONDE;116692;e15a8c82-19bf-11e5-a6ff-01fc64e0362d;422037.5672999993;6428668.389899999;-0.522440511179966;44.901397388496285;44.901397388496285, -0.5224405111799664;44.901397388476425, -0.5224405111799684;"{""coordinates"": [-0.522440511179968, 44.901397388476425], ""type"": ""Point""}"
87444208;Mézidon;O;O;366000;1;215+516;MEZIDON VALLEE D'AUGE;CALVADOS;116697;293fc75e-dfbc-11e3-a2ff-01a464e0362d;475656.61900000274;6890023.350699998;-0.070939613439608;49.0707973113389;49.0707973113389, -0.07093961343960849;49.070797311317904, -0.07093961343961128;"{""coordinates"": [-0.070939613439611, 49.070797311317904], ""type"": ""Point""}"
87726406;Andrézieux;N;O;784000;1;129+561;ANDREZIEUX-BOUTHEON;LOIRE;116705;d98c65fc-6667-11e3-89ff-01f464e0362d;797988.0186000019;6492128.8708;4.25525189630413;45.52162717496561;45.52162717496561, 4.25525189630413;45.52162717494749, 4.255251896304131;"{""coordinates"": [4.255251896304131, 45.52162717494749], ""type"": ""Point""}"
87671883;Audignon;N;N;653000;1;202+946;AUDIGNON;LANDES;116709;d9a8c6c4-6667-11e3-89ff-01f464e0362d;409629.17890000343;6297852.9059000015;-0.6038600447717;43.72005731964934;43.72005731964934, -0.6038600447716996;43.720057319626385, -0.603860044771702;"{""coordinates"": [-0.603860044771702, 43.720057319626385], ""type"": ""Point""}"
87484063;Trélazé;N;O;515000;1;336+119;TRELAZE;MAINE-ET-LOIRE;116722;e547fb32-6667-11e3-a7ff-01f464e0362d;438721.41920000315;6711545.167199999;-0.468657016934063;47.452604850909566;47.452604850909566, -0.46865701693406336;47.45260485089709, -0.46865701693406575;"{""coordinates"": [-0.468657016934066, 47.45260485089709], ""type"": ""Point""}"
87784520;St-Féliu-d'Avall;N;O;679000;1;479+333;SAINT-FELIU-D'AVALL;PYRENEES-ORIENTALES;116725;c104b36a-f312-11e3-90ff-015864e0362d;679157.3618000001;6175113.3182;2.746041079016259;42.67534823768516;42.67534823768516, 2.746041079016259;42.675348237659776, 2.7460410790162584;"{""coordinates"": [2.746041079016258, 42.675348237659776], ""type"": ""Point""}"
87491001;Saintes;O;O;500000;1;488+522;SAINTES;CHARENTE-MARITIME;116729;d9d29bbe-6667-11e3-89ff-01f464e0362d;418882.2353999987;6523122.7984;-0.617164648047297;45.74974442310996;45.74974442310996, -0.6171646480472971;45.749744423092494, -0.6171646480473003;"{""coordinates"": [-0.6171646480473, 45.749744423092494], ""type"": ""Point""}"
87295774;Dompierre;N;O;267000;2;088+678;DOMPIERRE-SUR-HELPE;NORD;116739;e00307c8-19bf-11e5-82ff-01fc64e0362d;762354.6225000024;7005679.395399999;3.871421884296514;50.14621725489208;50.14621725489208, 3.871421884296514;50.146217254876234, 3.871421884296515;"{""coordinates"": [3.871421884296515, 50.146217254876234], ""type"": ""Point""}"
87545780;Civry-St-Cloud;O;N;558000;1;030+730;VILLEMAURY;EURE-ET-LOIR;116746;e54fb766-6667-11e3-a7ff-01f464e0362d;586741.2413000017;6775033.793299999;1.479386702259105;48.065867886888654;48.065867886888654, 1.479386702259105;48.06586788687795, 1.4793867022591036;"{""coordinates"": [1.479386702259104, 48.06586788687795], ""type"": ""Point""}"
87193813;Lemberg (Moselle);N;N;159000;1;053+116;LEMBERG;MOSELLE;116747;e1563376-19bf-11e5-a6ff-01fc64e0362d;1020328.3633999974;6886749.641600002;7.380061133935786;49.00068634728446;49.00068634728446, 7.380061133935786;49.00068634726313, 7.38006113393579;"{""coordinates"": [7.38006113393579, 49.00068634726313], ""type"": ""Point""}"
87671842;Augreilh;N;N;654000;1;192+226;SAINT-SEVER;LANDES;116751;d979cb9e-6667-11e3-89ff-01f464e0362d;409422.3770999983;6301790.438999999;-0.608654974026891;43.755367176253685;43.755367176253685, -0.6086549740268907;43.75536717623081, -0.6086549740268931;"{""coordinates"": [-0.608654974026893, 43.75536717623081], ""type"": ""Point""}"
87726414;Bonson;O;O;784000;1;126+515;BONSON;LOIRE;116752;d9e746c6-6667-11e3-89ff-01f464e0362d;794951.1297999993;6492158.111000001;4.21636058621463;45.5223184083818;45.5223184083818, 4.21636058621463;45.52231840836368, 4.2163605862146305;"{""coordinates"": [4.216360586214631, 45.52231840836368], ""type"": ""Point""}"
87175612;Les Koeurs;N;N;088000;1;009+326;KŒUR-LA-PETITE;MEUSE;116760;e54808b4-6667-11e3-a7ff-01f464e0362d;882664.0243000016;6864955.550900001;5.490014870752462;48.85871291183243;48.85871291183243, 5.490014870752462;48.85871291181038, 5.490014870752463;"{""coordinates"": [5.490014870752463, 48.85871291181038], ""type"": ""Point""}"
87574343;Amboise;N;O;570000;2;212+228;AMBOISE;INDRE-ET-LOIRE;116762;29748aa0-dfbc-11e3-a2ff-01a464e0362d;547811.383100003;6704298.809;0.981190077870666;47.4215276424356;47.4215276424356, 0.9811900778706656;47.42152764242303, 0.9811900778706636;"{""coordinates"": [0.981190077870664, 47.42152764242303], ""type"": ""Point""}"
87731646;St-Thurin;N;N;784000;1;080+243;SAINT-DIDIER-SUR-ROCHEFORT;LOIRE;116766;e53f2592-6667-11e3-a7ff-01f464e0362d;767952.6928000003;6523901.907499999;3.875040163472339;45.81136066930653;45.81136066930653, 3.8750401634723386;45.81136066928923, 3.8750401634723395;"{""coordinates"": [3.875040163472339, 45.81136066928923], ""type"": ""Point""}"
